公司,板块,2023收入(亿),2022收入(亿),2021收入(亿),2023增速,2022增速,2023毛利率,2022毛利率,2023净利率,2023研发费用率,2023海外收入占比,2023ROE,2023在手订单增速,2023产能利用率,2023员工数,2023人均创收(万),前五客户集中度,核心下游,2024E PE,核心优势,近期边际变化
药明康德,CRO+CDMO,403,412,220,-2%,88%,39%,39%,24%,4%,82%,18%,-5%,75%,42000,96,25%,创新药+Biotech,22x,全产业链一体化,订单企稳+海外产能布局
凯莱英,CDMO,78,92,46,-15%,100%,43%,45%,23%,8%,85%,15%,-20%,70%,9500,82,35%,创新药+大药企,20x,连续反应技术+辉瑞绑定,大订单退潮+新业务放量
泰格医药,CRO,75,69,53,8%,30%,38%,37%,27%,6%,45%,14%,+12%,85%,8200,91,20%,创新药临床,25x,临床CRO龙头+SMO网络,在手订单唯一正增长
康龙化成,CRO+CDMO,115,121,74,-5%,64%,34%,36%,15%,5%,78%,10%,-8%,65%,18000,64,22%,全球创新药,20x,实验室化学全球前列,产能利用率不足
博腾股份,CDMO,38,48,31,-20%,55%,40%,43%,13%,9%,88%,8%,-15%,60%,5200,73,50%,大药企+创新药,18x,原料药+制剂一体化,客户集中度高+转型
九洲药业,CDMO+原料药,52,57,40,-8%,43%,35%,37%,15%,7%,65%,12%,-10%,72%,6800,77,28%,大药企+仿制药,16x,CDMO+原料药双轮,原料药提供稳定现金流
药明生物,大分子CDMO,165,181,107,-9%,69%,40%,45%,22%,5%,85%,12%,-12%,68%,12000,138,20%,生物药+疫苗,18x,大分子CDMO全球领先,BIOSECURE影响
康泰临床,CRO(临床),12,10,7,20%,43%,42%,40%,15%,8%,20%,10%,+25%,,1500,80,30%,国内创新药临床,30x,临床CRO新锐,高增速但规模小
Lonza,CDMO全球龙头,600,580,480,3%,21%,35%,34%,22%,5%,90%,18%,+3%,82%,18000,333,15%,全球大药企,35x,全球CDMO标杆,估值参考基准
Samsung Biologics,大分子CDMO,180,155,110,16%,41%,40%,42%,25%,8%,95%,15%,+10%,88%,6000,300,12%,全球生物药,40x,大分子CDMO全球第一,产能扩张
Charles River,CRO全球龙头,250,242,220,3%,10%,28%,29%,12%,5%,65%,14%,+2%,80%,20000,125,18%,全球安评+CRO,28x,安评+早期发现领先,估值参考
Syneos Health,CRO,200,210,195,-5%,8%,30%,32%,8%,4%,75%,10%,-5%,75%,28000,71,15%,商业化CRO,18x,商业化服务特色,估值参考
昭衍新药,CRO(安评),22,24,16,-8%,50%,45%,47%,18%,10%,12%,10%,-15%,,2800,79,25%,创新药安评,22x,国内安评龙头,GLP资质壁垒高
美迪西,CRO(发现+CMC),15,18,10,-17%,80%,38%,42%,8%,12%,55%,5%,-20%,,2200,68,30%,Biotech发现/CMC,18x,药物发现+CMC一体化,Biotech融资下滑影响大
皓元医药,CDMO+试剂,18,16,12,12%,33%,42%,40%,14%,11%,50%,8%,+5%,68%,2500,72,20%,创新药分子砌块,20x,分子砌块+CDMO协同,下游需求逐步回暖
睿智医药,CRO+CDMO,18,22,14,-18%,57%,30%,33%,-5%,8%,60%,-3%,-25%,55%,3500,51,28%,全球创新药,亏损,一体化CRO+CDMO,整合期亏损+产能爬坡
Catalent,CDMO(制剂+基因),300,310,260,-3%,19%,28%,30%,5%,6%,70%,3%,-5%,72%,17000,176,12%,大药企+基因治疗,22x,制剂+基因治疗CDMO,被Novo Holdings收购
中国CXO行业平均,,23,25,15,-8%,67%,37%,38%,14%,7%,55%,11%,-8%,67%,4800,55,28%创新药+Biotech,20x,,,受BIOSECURE+融资周期影响
全球CDMO行业平均,,85,82,68,4%,21%,33%,34%,14%,5%,82%,13%,+2%,76%,9500,90,14%,全球大药企,28x,,中国CDMO估值折价30-40%
