类型,机构名称,简称,城市,基金规模,关注方向,已投相关案例,投资阶段,单笔规模,推荐理由,优先级,对接角色,对接方式,备注
财务VC,达晨财智,达晨,深圳,~200亿,硬科技/智能制造/新能源,无人机/机器人多个项目,Pre-A到B轮,1000-5000万,深圳本地+无人机经验+退出案例多,高,投资总监,项目组对接,关注增长+退出
财务VC,同创伟业,同创,深圳,~150亿,硬科技/半导体/智能装备,智能制造/自动驾驶,A轮到C轮,2000-8000万,硬科技布局积极+低空经济关注度高,高,合伙人,项目组对接,A轮活跃
财务VC,元禾原点,元禾,苏州,~80亿,智能制造/生物医药,机器人/自动化多个,天使到A轮,500-3000万,苏州国资+智能制造强,中,投资经理,项目组对接,可能有返投
财务VC,国中资本,国中,深圳,~100亿,新能源/智能装备,新能源/装备项目,A轮到B轮,1500-5000万,新能源+装备交叉赛道,中,高级投资经理,项目组对接,规模适中
财务VC,清流资本,清流,北京,~30亿,消费/科技/AI应用,AI工具/消费科技,天使到A轮,500-2000万,AI应用+对SaaS有认知,中,投资经理,项目组对接,偏早期
财务VC,联想创投,联想创投,北京,~100亿,智能硬件/AI/企业服务,智能硬件/AI项目,A轮到C轮,2000-8000万,智能硬件+AIoT布局,中,投资总监,项目组对接,产业资源
财务VC,光速光合,光速,上海,~80亿,硬科技/新能源/制造,新能源/智能制造,A轮到B轮,2000-6000万,硬科技+新能源+制造交叉,中,合伙人,项目组对接,决策快
产业资本,大疆战投,大疆战投,深圳,-,无人机生态/机器人/自动驾驶,无人机应用生态项目,A轮到B轮,2000-10000万,生态布局+硬件供应关系,高,战略投资经理,项目组对接,可能要求排他
产业资本,国网英大产业基金,国网英大,北京,~50亿,电力/能源/科技创新,电力/能源科技,A轮到C轮,2000-8000万,国网系+直击客户+战略协同,高,投资经理,项目组对接,战略价值最大
产业资本,海康威视战投,海康战投,杭州,-,安防/物联网/AI/无人机,安防/AI/物联网,A轮到B轮,1000-5000万,安防+物联网+无人机协同,中,投资总监,项目组对接,可能要求技术合作
产业资本,南网产业投资,南网产投,广州,~30亿,电力/能源/数字化,电力科技/能源数字化,A轮到B轮,2000-5000万,直接客户+战略协同,高,投资经理,项目组对接,决策周期长
产业资本,中国电科战投,电科战投,北京,-,军工/通信/无人机/电子,军工/无人机/通信,A轮到B轮,2000-8000万,军民融合+无人机技术,中,投资经理,项目组对接,涉密流程复杂
政府基金,深圳低空经济产业基金,深圳低空基金,深圳,20亿,低空经济全产业链,低空经济产业链,Pre-A到B轮,1000-5000万,20亿专项+政策匹配最高,高,基金管理人,项目组对接,关注属地落地
政府基金,合肥产投,合肥产投,合肥,~100亿,低空经济/新能源/制造,低空经济/智能制造,A轮到C轮,2000-8000万,低空经济重点城市+政策力度大,中,投资经理,项目组对接,可能要求迁注册
政府基金,苏州工业园区创投,苏园创投,苏州,~50亿,科技/生物医药,科技型企业,天使到A轮,500-3000万,苏州业务关联+属地支持,中,项目经理,项目组对接,属地优先
政府基金,成都交子产业基金,交子基金,成都,~30亿,低空经济/航空航天,航空航天项目,Pre-A到A轮,1000-3000万,成都低空试点+产业配套,低,基金管理人,项目组对接,属地资源
战略投资方,顺丰战投,顺丰战投,深圳,-,物流科技/无人机/供应链,物流无人机/仓储机器人,A轮到B轮,2000-8000万,物流无人机+最后一公里协同,中,战略投资经理,项目组对接,物流场景协同
战略投资方,华为哈勃投资,哈勃,深圳,-,半导体/通信/智能硬件,半导体/通信项目,A轮到C轮,3000-10000万,5G+物联网+无人机通信,低,投资经理,项目组对接,标准较高
